Conversation_Id,Clarity_and_Simplicity,Relevance_and_Accuracy,Tone_and_Supportiveness,Adaptability,Consistency_and_Flow
75,8.5,9.2,8.0,8.5,9.2
76,8.5,8.5,8.5,8.5,8.5
77,8.5,8.6,8.5,8.5,8.5
78,8.2,8.5,8.5,8.0,8.5
79,8.2,8.5,8.5,8.0,9.5
80,8.5,8.5,9.5,8.0,8.0
81,8.5,8.5,8.5,8.5,8.5
82,8.5,8.5,8.5,8.5,8.3
83,8.3,8.5,9.5,8.5,8.5
84,8.5,8.2,8.5,8.5,8.5
85,9.0,8.5,9.5,9.5,9.5
86,9.5,8.6,9.5,8.3,8.5
87,8.5,8.5,9.5,9.0,9.0
88,8.5,9.5,8.0,8.5,8.5
89,9.0,8.5,9.5,9.5,8.5
90,8.5,8.2,9.5,7.0,7.3
91,8.5,8.5,8.6,8.0,8.2
92,8.5,8.0,9.5,8.0,8.2
93,8.5,8.5,9.5,9.0,8.3
95,8.5,8.5,8.3,8.5,8.5
96,8.5,8.5,9.2,8.0,9.5
97,8.5,8.5,8.5,8.5,8.2
98,8.0,8.5,8.0,8.5,8.5
99,8.2,8.5,8.5,8.5,8.5
100,8.2,8.5,8.0,8.5,9.0
101,8.5,9.5,8.5,8.5,8.5
102,8.5,9.5,8.5,8.5,9.5
103,8.4,8.5,8.2,8.4,8.5
104,8.5,9.5,8.5,8.5,8.5
105,8.5,8.6,8.5,8.5,8.5
106,8.5,8.5,9.0,8.2,8.5
107,7.0,8.5,8.5,7.5,8.5
108,8.5,8.5,8.5,8.0,8.2
109,8.5,9.2,8.5,8.4,8.5
110,8.5,8.5,8.2,9.2,8.5
111,8.5,8.5,9.5,8.5,8.5
112,9.0,8.5,9.5,9.0,8.5
113,8.5,8.5,9.5,8.5,8.5
114,8.5,9.5,8.5,8.5,8.2
115,8.5,8.5,9.5,9.0,8.5
116,8.6,8.5,8.0,8.5,8.3
117,8.5,9.5,9.5,8.2,9.5
118,8.5,8.2,8.5,7.3,8.5
119,8.5,8.5,9.5,8.5,8.5
120,8.5,8.5,9.2,9.5,8.5
121,8.5,8.2,8.5,9.5,8.5
122,8.2,9.5,8.6,9.0,9.0
123,8.5,8.2,8.5,9.5,8.5
124,8.5,8.2,9.2,9.0,8.5
125,8.5,8.3,8.5,7.5,8.2
126,8.5,8.5,8.2,8.5,8.9
127,8.5,8.3,9.5,8.5,9.5
128,8.2,8.5,7.3,9.2,8.2
129,9.5,9.5,9.5,8.5,8.5
130,9.5,9.5,8.5,8.5,8.5
131,8.5,9.5,8.3,8.5,9.2
132,8.5,8.5,9.5,8.5,8.5
133,8.0,8.0,9.0,8.0,8.5
134,8.5,8.5,8.5,8.5,8.5
135,8.0,9.0,9.2,8.5,8.5
136,8.5,8.5,8.5,9.5,8.2
137,8.5,9.5,8.5,8.5,9.5
138,8.5,8.5,8.5,8.5,8.5
139,8.5,9.5,9.5,8.5,8.5
140,8.5,9.5,8.5,9.5,9.5
141,8.5,8.5,8.2,8.5,8.5
142,8.5,8.5,8.5,9.5,9.5
143,8.5,8.5,8.2,8.5,8.5
144,8.5,8.5,8.5,8.5,7.5
145,8.2,7.5,8.5,7.0,7.5
146,8.0,8.5,8.5,7.5,7.0
147,8.5,8.5,8.5,8.5,8.0
148,8.5,8.5,8.5,8.5,7.5
149,7.0,8.5,8.2,8.0,8.5
150,8.5,9.2,8.5,8.5,8.5
151,8.5,8.5,8.5,8.0,8.5
152,8.5,8.5,8.5,8.0,8.5
153,8.5,8.5,8.5,9.5,8.5
154,8.5,8.5,8.5,8.5,8.5
155,8.5,8.5,8.5,8.5,9.0
156,8.5,8.5,8.5,8.5,8.5
157,8.5,8.5,9.5,8.5,9.0
158,8.5,8.3,8.5,8.5,8.5
159,8.5,9.5,9.5,8.0,8.5
160,8.5,8.5,8.5,8.0,8.5
161,8.5,9.5,8.3,7.5,8.5
162,8.5,8.5,8.5,8.5,8.5
163,8.5,8.5,8.5,8.5,8.5
164,8.5,9.5,8.5,8.5,9.5
165,8.5,8.5,8.5,7.5,8.6
166,8.2,8.5,8.5,8.0,8.0
167,8.5,8.0,8.0,8.0,8.0
168,8.5,8.5,8.5,8.5,8.5
169,8.2,8.5,8.2,8.5,8.5
170,8.5,8.5,8.5,8.5,9.5
171,8.5,9.0,8.2,8.0,8.5
172,8.5,8.5,8.5,8.5,8.5
173,8.5,9.5,8.5,7.5,8.2
174,9.2,8.5,9.5,8.5,9.2
175,8.5,9.0,9.0,8.5,8.5
176,8.2,8.6,9.5,8.5,8.5
177,8.5,9.2,8.5,8.5,9.0
178,8.5,9.2,8.5,8.5,9.2
179,8.5,8.5,8.5,8.5,8.3
180,8.5,9.5,8.5,8.5,8.5
181,9.5,9.5,9.0,8.5,9.2
182,8.0,9.5,9.5,9.5,9.5
183,8.5,7.5,9.5,8.5,8.0
184,9.2,8.3,8.5,8.5,8.5
185,8.5,9.5,8.0,9.5,8.5
186,8.2,8.5,9.5,8.5,8.5
187,8.5,9.5,9.5,8.5,9.5
188,7.5,8.5,8.5,8.5,8.5
189,8.5,8.5,8.5,8.5,9.5
190,8.5,8.5,9.2,8.5,8.5
191,8.2,9.5,8.5,8.5,8.5
192,8.5,9.5,9.5,8.5,8.5
193,9.5,8.5,8.5,8.5,8.5
194,8.5,8.5,8.5,8.5,8.5
195,8.,9.5,8.5,8.0,8.5
196,8.5,8.5,8.5,8.0,8.2
197,9.5,8.5,8.2,9.0,8.5
198,8.5,8.9,8.0,8.5,8.5
199,8.5,8.3,8.5,9.0,8.5
200,8.4,8.0,8.5,8.5,8.4
201,8.5,9.5,8.5,8.5,7.2
202,8.5,9.5,8.5,9.5,8.5
203,8.5,8.5,8.5,8.5,8.5
204,8.5,8.5,8.2,8.5,8.5
205,8.5,8.5,9.5,8.2,8.2
206,8.5,8.5,8.4,8.5,9.5
207,8.5,9.0,8.5,8.5,8.5
208,8.5,9.5,9.5,8.5,8.5
209,9.2,9.5,8.0,9.0,9.0
210,8.2,8.5,8.5,8.5,9.0
211,8.5,8.5,8.5,8.5,8.5
212,8.2,8.5,9.5,8.2,8.2
213,8.5,8.2,8.5,8.5,8.5
214,8.5,8.5,8.5,8.5,8.3
215,8.5,8.5,8.5,9.5,8.5
216,8.5,9.5,8.2,8.5,8.3
217,9.5,8.5,8.5,8.5,8.5
218,9.5,8.5,8.2,8.5,8.0
219,8.5,8.3,8.5,8.5,8.5
220,8.5,8.5,8.5,8.5,8.5
221,8.5,8.5,8.5,8.5,8.5
222,8.5,8.5,8.5,8.5,7.5
223,8.5,9.5,9.5,8.5,8.2
224,8.5,8.5,8.5,9.5,8.5
225,8.5,8.5,8.5,8.5,8.5
226,8.5,8.5,8.5,7.5,8.5
227,8.5,8.5,8.0,8.0,8.5
228,8.5,8.5,9.5,9.5,8.5
229,8.5,8.5,9.5,9.2,8.5
230,9.2,8.5,8.5,8.5,8.5
231,8.5,8.5,9.5,8.5,8.3
232,8.5,8.5,9.0,8.5,8.5
233,8.3,7.5,9.2,8.5,7.2
234,8.5,8.3,8.5,8.5,8.5
235,8.0,9.0,9.0,8.,9.
236,8.5,8.3,8.0,8.5,8.5
237,8.5,8.5,8.5,9.0,8.5
238,8.5,9.2,8.5,9.0,8.5
239,8.5,8.5,8.5,8.5,9.2
240,8.2,8.5,8.5,8.5,8.5
241,9.5,8.5,8.5,9.0,8.5
242,8.5,8.5,8.5,8.5,8.5
243,8.0,8.5,8.5,8.5,8.5
244,8.5,8.5,8.5,9.2,8.5
245,8.5,9.5,8.5,9.5,8.5
246,8.5,8.9,8.5,9.5,9.0
247,8.5,8.5,8.2,8.5,8.5
248,8.5,8.5,8.5,9.5,8.5
249,8.0,8.5,8.5,8.5,8.5
250,8.5,8.5,8.5,8.5,7.5
251,8.5,8.5,7.8,8.5,8.5
252,8.5,9.5,8.5,8.5,7.5
253,8.5,8.5,9.5,9.2,8.5
254,8.5,8.5,8.5,8.5,9.0
255,8.5,9.5,8.5,8.5,8.2
256,8.3,9.5,8.5,8.3,8.5
257,8.0,8.5,8.2,8.5,8.3
258,8.5,8.5,8.5,8.5,8.3
259,8.5,8.5,8.3,8.5,8.5
260,8.5,8.2,8.5,8.2,8.5
261,8.5,8.5,8.5,8.5,8.3
262,8.3,8.3,9.5,8.5,8.5
263,8.5,8.5,9.0,8.5,8.2
264,8.5,8.5,9.0,8.5,9.5
265,8.5,8.5,8.5,8.2,8.5
266,8.5,8.5,8.5,8.2,8.5
267,8.3,9.2,8.0,9.5,8.5
268,8.5,8.5,9.5,8.5,8.5
269,8.5,8.5,9.5,8.5,8.5
270,8.5,8.9,8.4,8.5,8.5
271,8.5,8.5,8.5,8.5,9.0
272,8.5,8.5,8.5,8.5,8.5
273,8.5,7.5,8.5,8.2,8.5
274,9.5,8.5,8.5,8.5,8.5
275,8.2,9.5,9.5,8.5,9.5
276,9.5,8.3,8.5,9.5,8.5
277,8.2,8.3,8.5,8.2,8.2
278,8.0,8.5,8.5,7.5,7.2
279,8.5,9.0,9.0,8.5,8.5
280,8.5,9.2,9.5,8.0,8.5
281,8.5,8.5,9.2,9.5,8.5
282,8.5,9.5,7.5,8.5,7.5
283,8.5,8.5,8.5,8.5,8.5
284,8.2,8.5,9.5,8.5,8.5
285,8.5,8.5,8.5,8.2,8.2
286,9.5,9.2,9.5,8.5,8.5
287,8.5,8.5,8.5,8.0,8.5
288,8.5,9.5,8.5,8.5,8.5
289,8.5,9.5,8.5,9.5,8.5
290,8.5,8.2,8.2,8.5,8.5
291,8.5,8.2,8.5,8.5,8.5
292,8.5,9.5,8.5,8.5,8.5
293,8.5,9.5,8.5,8.5,7.5
294,8.5,9.5,8.5,8.5,8.5
295,8.5,8.5,9.0,8.5,8.5
296,8.5,8.5,9.5,7.5,8.2
297,8.5,8.5,8.5,8.5,9.5
298,8.2,8.5,8.2,8.5,9.5
299,8.5,8.5,8.3,8.5,7.5
300,8.5,9.5,8.5,8.0,8.5
301,8.2,8.5,9.5,8.5,8.2
302,8.5,8.2,8.5,8.5,8.5
303,8.5,9.0,8.5,8.5,8.5
304,8.5,8.0,8.5,8.5,8.5
305,8.5,8.5,9.5,8.5,8.5
306,8.5,8.5,8.5,8.5,8.5
307,8.5,8.5,9.5,8.5,8.5
308,9.0,8.5,8.5,9.2,8.5
309,8.5,9.5,8.5,8.5,8.5
310,8.5,9.5,9.5,9.5,8.5
311,8.5,9.5,8.5,8.5,9.2
312,8.5,8.2,8.5,9.5,8.5
313,9.5,9.5,8.5,9.5,8.5
314,8.2,9.5,8.5,8.5,8.5
315,8.5,9.5,8.5,8.5,9.5
316,8.5,8.5,8.2,7.5,8.5
317,8.0,8.5,9.5,8.5,8.5
318,8.2,9.5,9.2,7.5,8.5
319,8.5,8.5,8.5,7.0,8.3
320,8.5,8.5,8.5,8.0,8.5
321,8.5,8.5,8.0,8.0,8.5
322,8.5,8.5,9.0,8.5,8.5
323,8.5,9.0,8.5,8.2,9.5
324,8.5,9.5,8.5,8.5,8.0
325,8.5,8.5,8.5,8.2,8.5
326,9.5,9.5,9.5,9.2,8.5
327,8.5,8.5,8.5,8.5,8.5
328,8.5,8.5,9.5,9.5,9.2
329,9.2,8.5,9.5,8.5,8.5
330,8.2,8.5,9.5,8.5,9.0
331,8.5,8.5,9.5,9.5,8.5
332,8.5,9.2,8.5,8.5,7.3
333,8.5,8.2,9.5,8.5,9.5
334,8.0,8.5,8.3,8.5,8.5
335,9.5,8.5,8.5,8.2,8.5
336,8.5,8.3,8.3,8.5,8.5
337,8.5,9.5,8.5,8.5,8.5
338,8.5,9.2,9.5,8.5,9.5
339,8.5,9.5,8.5,8.5,8.5
340,8.2,8.5,9.2,8.5,8.5
341,8.5,8.5,9.5,8.5,9.0
342,9.0,9.5,8.5,8.5,8.5
343,8.5,9.5,9.5,8.5,8.5
344,8.5,8.5,9.5,8.5,9.5
345,8.5,8.5,9.5,9.5,7.2
346,8.5,8.5,8.3,8.5,8.5
347,8.2,8.5,8.5,8.5,8.2
348,8.5,8.5,8.5,8.5,8.5
349,8.5,8.5,8.5,9.5,8.2
350,8.5,8.5,8.5,8.5,8.5
351,8.5,8.5,9.5,8.2,7.5
352,8.5,9.5,9.0,9.0,9.5
353,9.0,8.5,8.2,8.5,8.5
354,8.2,8.5,9.5,8.2,8.5
355,8.5,8.5,8.0,8.5,9.5
356,8.5,8.1,8.2,8.5,8.5
357,8.5,8.5,9.5,9.5,8.5
358,8.5,9.0,9.5,9.5,8.0
359,8.2,8.5,8.2,8.5,7.5
360,9.0,8.5,8.5,8.5,8.5
361,8.5,8.5,8.5,8.5,9.5
362,8.5,8.5,9.5,8.5,8.3
363,8.5,8.5,9.5,8.5,8.5
364,9.0,9.0,8.5,8.5,8.5
365,8.5,8.9,8.5,8.5,9.0
366,8.5,8.5,8.2,8.5,8.5
367,8.5,8.5,8.5,9.5,9.2
368,8.5,9.5,8.5,8.5,9.5
369,8.5,8.0,8.5,8.0,7.5
370,8.0,8.5,9.5,8.2,8.2
371,9.5,9.5,8.5,9.5,8.5
372,9.5,8.5,8.5,8.5,8.3
373,8.5,8.5,8.5,9.5,9.5
374,8.5,8.5,8.5,9.2,9.2
375,8.5,8.2,8.5,8.5,8.5
376,8.2,8.5,8.5,8.5,8.5
377,7.4,9.2,8.0,8.5,8.0
378,8.2,9.5,8.5,9.5,8.5
379,8.2,8.5,8.5,8.5,8.5
380,9.2,8.5,8.5,8.5,8.5
381,8.0,2.0,3.5,4.5,8.5
382,8.5,8.5,8.5,8.5,8.5
383,6.0,5.0,6.0,7.0,8.5
384,8.5,8.5,8.5,8.5,8.5
385,8.5,7.2,8.5,7.5,8.5
386,8.5,8.2,8.2,8.5,8.3
387,8.,9.0,8.5,7.5,8.2
388,8.0,9.5,8.5,8.0,9.5
389,8.5,8.5,8.2,8.5,9.2
390,8.5,8.5,9.5,8.0,8.5
391,8.2,8.5,9.2,8.5,8.0
392,8.5,8.5,9.5,9.0,8.0
393,8.0,8.5,8.5,8.0,8.5
394,8.5,8.5,9.1,8.5,8.0
395,8.5,8.5,8.5,8.5,8.5
396,8.5,8.5,8.5,9.5,8.5
397,8.5,8.5,8.5,8.0,8.5
398,8.5,8.5,8.5,8.5,8.2
399,8.5,8.5,9.5,8.5,8.5
400,8.5,8.5,8.5,8.5,8.4
401,8.5,8.5,8.5,7.5,8.5
402,9.0,9.5,8.5,8.5,9.6
403,8.3,9.5,9.5,8.0,9.5
404,8.5,9.0,9.5,9.5,8.2
405,8.5,9.5,8.5,9.5,8.5
406,8.3,9.5,8.5,8.5,8.5
407,8.5,9.0,8.5,8.0,9.0
408,8.5,9.2,8.5,8.5,8.5
409,8.5,8.0,9.2,8.0,9.0
410,8.5,8.5,8.5,8.5,8.5
411,8.5,8.5,8.5,8.5,8.5
412,8.5,8.2,8.5,8.5,9.0
413,8.5,8.5,8.5,8.5,8.5
414,8.5,8.5,9.2,8.3,8.5
415,8.5,8.5,8.5,8.0,8.5
416,8.5,8.3,9.5,7.5,8.2
417,8.5,8.5,8.5,8.5,8.5
418,9.5,8.5,9.0,9.5,9.0
419,9.0,9.5,8.5,8.5,8.5
420,8.5,8.5,9.5,9.5,8.5
421,9.5,8.5,9.5,8.0,8.5
422,8.5,8.5,9.5,8.5,8.5
423,8.2,8.2,9.6,8.5,9.5
424,8.5,9.5,9.2,8.5,8.5
425,8.5,8.5,8.5,8.5,8.5
426,8.5,9.5,8.5,8.5,8.5
427,8.5,8.5,9.5,8.5,9.5
428,7.9,7.3,9.0,9.5,7.5
429,8.5,8.5,8.2,8.5,8.5
430,8.5,9.0,8.2,9.2,8.2
431,8.5,8.5,9.5,8.5,8.2
432,8.5,8.5,8.5,8.5,8.5
433,8.5,8.5,9.5,8.0,8.5
434,8.5,8.5,9.5,8.5,9.5
435,8.5,8.5,8.5,9.5,8.2
436,9.2,8.5,9.5,9.0,8.5
437,8.5,8.5,8.5,8.5,8.5
438,8.5,9.5,8.5,9.5,9.5
439,8.5,8.5,8.5,8.5,8.5
440,8.5,9.5,8.5,8.2,8.0
441,8.5,8.5,8.5,8.5,9.5
442,8.5,9.5,8.5,9.5,8.2
443,9.5,9.0,9.5,8.5,8.5
444,8.5,8.5,8.5,8.5,8.5
445,8.5,8.5,8.5,8.5,8.5
446,8.5,9.5,8.5,8.0,8.0
447,8.0,8.5,8.5,9.5,8.2
448,8.5,8.5,8.5,8.5,8.5
449,8.5,8.9,9.5,8.5,8.5
450,8.6,8.5,9.5,8.5,8.5
451,8.5,9.2,8.5,9.0,8.5
452,8.5,8.0,8.5,8.5,8.5
453,8.5,8.5,7.5,7.5,9.5
454,8.0,8.5,8.5,8.5,8.5
455,8.5,8.0,9.0,8.0,9.0
456,8.5,9.5,8.5,8.0,8.5
457,8.2,8.5,7.6,8.4,8.0
458,8.5,9.5,8.5,9.5,8.5
459,8.5,8.2,8.3,8.5,8.3
460,8.5,9.5,9.2,9.5,8.5
461,8.5,9.6,9.0,8.5,9.5
462,8.5,8.5,8.5,8.5,8.5
463,8.5,8.5,9.5,8.5,9.5
464,8.5,8.5,9.5,8.5,8.5
465,8.5,8.2,8.5,9.5,8.3
466,9.5,8.5,9.2,8.5,8.5
467,8.2,8.4,7.6,8.2,8.5
468,8.5,8.5,9.5,8.5,9.5
469,8.0,8.5,8.2,8.5,7.5
470,8.5,9.5,8.2,9.0,9.5
471,8.5,8.5,8.5,8.5,8.5
472,8.5,9.2,8.5,9.5,8.5
473,8.5,8.5,8.5,8.5,8.0
474,8.5,8.5,8.0,7.5,8.5
475,9.2,8.5,8.2,8.0,8.2
476,8.5,9.5,9.5,9.0,7.5
477,8.5,8.5,8.2,8.5,8.2
478,8.5,8.5,8.2,8.5,8.5
479,8.5,9.5,8.5,8.5,8.5
480,8.5,8.5,8.5,8.5,8.0
481,8.5,8.5,8.5,8.5,8.5
482,8.0,8.5,8.5,8.0,8.5
483,8.5,8.5,8.5,8.5,8.5
484,8.5,8.5,8.5,9.0,8.0
485,8.5,9.2,8.5,9.5,7.5
486,8.5,9.5,9.5,8.5,9.5
487,8.5,8.5,8.5,8.5,8.5
488,8.0,8.2,9.5,8.5,8.5
489,8.5,7.5,6.5,8.2,6.0
490,8.5,8.5,9.0,8.5,8.5
491,8.5,8.5,9.5,9.5,8.5
492,8.5,8.0,8.2,8.2,8.5
493,8.5,8.5,8.3,8.5,9.5
494,8.5,9.5,8.5,8.5,8.3
495,8.5,8.5,8.5,8.5,6.5
496,8.5,8.5,8.5,8.5,8.5
497,7.2,8.2,8.2,8.5,7.6
498,8.0,8.5,8.5,8.2,8.3
499,8.5,8.5,8.5,8.5,7.7
500,8.5,9.5,8.5,8.5,8.5
501,8.2,9.5,8.5,8.5,7.8
502,9.0,8.2,9.2,8.0,8.5
503,8.5,7.0,8.2,6.0,8.0
504,8.5,8.5,7.5,8.5,7.5
505,8.0,9.5,8.5,8.0,8.0
506,8.5,8.5,8.5,8.5,8.5
507,8.5,8.5,8.0,8.0,8.5
508,9.0,8.5,8.5,8.5,8.0
509,8.5,8.5,8.5,9.5,9.5
510,8.5,8.5,9.5,8.0,8.5
511,8.5,8.5,9.5,8.0,8.6
512,8.5,9.5,9.2,8.5,8.5
513,8.5,8.3,8.5,8.,8.5
514,8.5,9.0,8.5,8.5,8.5
515,8.5,8.5,8.5,8.5,8.5
516,9.5,8.6,9.0,9.0,8.5
517,8.5,9.0,9.5,8.2,8.5
518,9.0,8.5,8.6,9.0,8.5
519,8.0,8.2,8.5,9.5,8.5
520,8.5,9.2,8.5,9.5,8.5
521,8.5,9.2,9.5,8.0,8.5
522,8.5,8.5,9.5,8.0,7.2
523,8.2,8.2,8.5,9.2,8.2
524,8.5,8.2,8.2,8.5,8.5
525,8.5,8.2,8.5,8.5,9.0
526,8.5,8.3,8.5,8.0,8.2
527,9.0,9.2,8.5,8.5,8.0
528,9.2,9.5,9.0,8.5,8.5
529,8.5,9.0,8.5,8.5,8.0
530,8.0,8.5,8.5,8.5,8.0
